timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,2.105,0.0,2.105,2.105,2.105,0.0,0.24614,1.0100194492761367,-0.5181247,2.126090940726268,0.0,0.0,-0.5181247,-0.5181247,2.126090940726268,2.126090940726268,0.0,0.0,0.0,0.0,0.0,0.0003452059999631274
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,2.036,0.0,2.036,2.036,2.036,0.0,0.2427899999999999,1.0086042505143096,-0.4943204399999998,2.0535182540471344,0.0,0.0,-0.4943204399999998,-1.0124451399999999,2.0535182540471344,4.179609194773402,0.0,0.0,0.0,0.0,0.0,0.00033474299999625146
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,1.854,0.0,1.854,1.854,1.854,0.0,0.2410399999999999,1.0058577644337745,-0.4468881599999998,1.864860295260218,0.0,0.0,-0.4468881599999998,-1.4593332999999997,1.864860295260218,6.04446949003362,0.0,0.0,0.0,0.0,0.0,0.0003323720000025787
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,1.807,0.0,1.807,1.807,1.807,0.0,0.24123,1.0084493370808598,-0.43590260999999997,1.8222679521051137,0.0,0.0,-0.43590260999999997,-1.8952359099999998,1.8222679521051137,7.866737442138734,0.0,0.0,0.0,0.0,0.0,0.0003323720000025787
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.728,0.0,0.728,0.728,0.728,0.0,0.2365399999999999,1.0069211806071423,-0.1722011199999999,0.7330386194819996,0.0,0.0,-0.1722011199999999,-2.06743703,0.7330386194819996,8.599776061620734,0.0,0.0,0.0,0.0,0.0,0.00033231699995894814
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,1.181,0.0,1.181,1.181,1.181,0.0,0.23507,1.0086558883254595,-0.27761767000000004,1.1912226041123677,0.0,0.0,-0.27761767000000004,-2.3450547,1.1912226041123677,9.7909986657331,0.0,0.0,0.0,0.0,0.0,0.0003319089999536118
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,1.8010000000000002,0.0,1.8010000000000002,1.8010000000000002,1.8010000000000002,0.0,0.23101,1.0118638873431471,-0.41604901,1.8223668611050081,0.0,0.0,-0.41604901,-2.76110371,1.8223668611050081,11.613365526838109,0.0,0.0,0.0,0.0,0.0,0.0003315949999773693
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.665,0.0,0.665,0.665,0.665,0.0,0.22352,1.014524848298966,-0.14864080000000002,0.6746590241188124,0.0,0.0,-0.14864080000000002,-2.90974451,0.6746590241188124,12.288024550956921,0.0,0.0,0.0,0.0,0.0,0.0003404090000458382
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.076,0.0,0.076,0.076,0.076,0.0,0.23591,1.0172455154739266,-0.01792916,0.07731065917601843,0.0,0.0,-0.01792916,-2.92767367,0.07731065917601843,12.36533521013294,0.0,0.0,0.0,0.0,0.0,0.0003275760000178707
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,1.09,0.0,1.09,1.09,1.09,0.0,0.2391499999999999,1.020054935136801,-0.2606734999999999,1.111859879299113,0.0,0.0,-0.2606734999999999,-3.1883471699999997,1.111859879299113,13.477195089432053,0.0,0.0,0.0,0.0,0.0,0.0003256130000295343
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.657,0.0,0.657,0.657,0.657,0.0,0.24173,1.0237680164947986,-0.15881661,0.6726155868370828,0.0,0.0,-0.15881661,-3.34716378,0.6726155868370828,14.149810676269135,0.0,0.0,0.0,0.0,0.0,0.0003681679999658627
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.337,0.0,0.337,0.337,0.337,0.0,0.2405499999999999,1.0275343493455449,-0.08106534999999997,0.34627907572944866,0.0,0.0,-0.08106534999999997,-3.4282291299999996,0.34627907572944866,14.496089751998584,0.0,0.0,0.0,0.0,0.0,0.0003282609999928354
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.048,0.0,0.048,0.048,0.048,0.0,0.2397599999999999,1.0269066272037537,-0.011508479999999995,0.049291518105780176,0.0,0.0,-0.011508479999999995,-3.4397376099999994,0.049291518105780176,14.545381270104365,0.0,0.0,0.0,0.0,0.0,0.00032587200001898964
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.101,0.0,0.101,0.101,0.101,0.0,0.24155,1.026269222972372,-0.02439655,0.10365319152020958,0.0,0.0,-0.02439655,-3.4641341599999995,0.10365319152020958,14.649034461624574,0.0,0.0,0.0,0.0,0.0,0.0003305390000036823
