dataset,kind,model,selection_mode,treated_unit,n_used_current_controls,n_features,lambda,sum_to_one_constraint,positive_weights_constraint,best_epoch,training_scaled_mse,training_scaled_mae,validation_scaled_mse,validation_scaled_mae,test_scaled_mse,test_scaled_mae,test_train_scaled_mse_ratio,pre_scaled_mse,pre_scaled_mae,pre_scaled_mean_gap,pre_gap_trend_scaled_total,post_scaled_mse,post_scaled_mae,post_mean_gap,post_scaled_mean_gap,post_cumulative_gap,post_scaled_cumulative_gap,post_same_sign_gap_share,post_scaled_mse_to_mae_ratio,selection_fit_seconds,selection_total_inference_seconds,selection_total_seconds,test_lag_construction_seconds,test_design_seconds,test_refit_seconds,test_inference_seconds,test_post_inference_seconds_unused,test_stage_total_seconds,pre_lag_construction_seconds,pre_design_seconds,pre_refit_seconds,pre_inference_seconds,post_inference_seconds,pre_post_stage_total_seconds,selected_model_total_seconds,placebo_n,placebo_p_value_abs_scaled_mean_effect,placebo_p_value_post_to_pre_scaled_mse_ratio,jackknife_n,jackknife_cv_abs_scaled_mean_effect,effective_donor_number_without_lags,effective_donor_share_without_lags,effective_donor_number_with_lags,effective_donor_share_with_lags,negative_weight_share_without_lags,negative_weight_share_with_lags,effective_feature_number_all_features,post_to_pre_scaled_mse_ratio,post_to_pre_scaled_mae_ratio,experiment_id,feature_mode,control_group_size,control_group_size_label,repetition,base_random_state,run_random_state,enable_linear_scm,enable_nn_scm,linear_lambda_grid,sum_to_one_grid,positive_weights_constraint_grid,standardize_linear_features,nn_lambda_grid,nn_hidden_units,nn_learning_rate,nn_epochs,nn_batch_size,nn_early_stopping_patience,standardize_nn_features,use_lagged_treated,lagged_treated_steps,use_topk_donor_lags,donor_lag_past_steps,donor_lag_top_k,pre_validation_fraction,pre_test_fraction,use_cross_validation_if_small,min_validation_rows,min_test_rows,cv_folds,enable_placebo_tests,max_placebos,enable_jackknife_tests,max_jackknife_donors,run_save_dir
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,50,386,0.05,,,172.0,0.032027,0.134622,0.025122,0.11897,0.03897,0.15384,1.216754,0.033161,0.139707,-0.029646,-0.004406,0.036209,0.148891,-0.097539,-0.036282,-1539.452869,-572.632176,0.590635,0.243193,,,,0.000182,0.647247,22.290318,0.16767,0.0,23.105443,0.000291,0.947365,24.66333,1.101052,630.851471,657.563511,680.668955,,,,,,,,,,,,,1.091909,1.06574,features=treated_lags__controls=50__rep=0,treated_lags,50.0,50,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_lags__controls=50__rep=0
bess,bess_panel_features,NN-SCM,single_validation_split,netconsumption_1,299,635,0.05,,,99.0,0.025679,0.126374,0.022135,0.117791,0.032071,0.137078,1.248921,0.025682,0.125409,-0.046709,0.005036,0.026281,0.126857,-0.131804,-0.049027,-2080.268699,-773.800104,0.660141,0.207169,,,,0.000314,1.071168,15.953578,0.176592,0.0,17.201675,0.000332,1.591865,17.904184,1.464502,761.408044,782.368929,799.570603,,,,,,,,,,,,,1.023332,1.011546,features=treated_lags__controls=all__rep=0,treated_lags,,all,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_lags__controls=all__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,100,100,0.01,True,False,,0.024416,0.117148,0.020317,0.104917,0.033448,0.138314,1.369931,0.024414,0.116951,0.013743,-0.001167,0.022749,0.11436,0.024351,0.009055,384.326917,142.910061,0.433885,0.198924,,,,0.000135,0.130137,0.02663,0.000265,0.0,0.157193,0.00029,0.172312,0.027341,0.001146,0.038293,0.239384,0.396577,,,,,,60.624921,0.606249,60.624921,0.606249,0.357315,0.357315,60.624921,0.93181,0.977846,features=standard_donors__controls=100__rep=0,standard_donors,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=standard_donors__controls=100__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,2,2,0.01,True,False,,0.463133,0.569666,0.455637,0.577802,0.452381,0.551644,0.976784,0.456774,0.566532,0.032434,0.071836,0.442489,0.573424,0.13498,0.050192,2130.38629,792.173592,0.534119,0.771662,,,,9.6e-05,0.00332,0.000532,1.2e-05,0.0,0.003968,9.7e-05,0.004739,0.000506,0.00016,0.00115,0.006655,0.010623,,,,,,1.880937,0.940468,1.880937,0.940468,0.374203,0.374203,1.880937,0.968727,1.012165,features=standard_donors__controls=2__rep=0,standard_donors,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=standard_donors__controls=2__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,50,50,0.01,True,False,,0.033201,0.130744,0.026508,0.117354,0.041951,0.147073,1.263546,0.032683,0.129469,0.018748,-0.026985,0.02959,0.126268,-0.009425,-0.003505,-148.761675,-55.316292,0.583096,0.234343,,,,0.00012,0.052861,0.008188,0.000325,0.0,0.061556,0.000281,0.080332,0.008949,0.000593,0.027781,0.117939,0.179495,,,,,,30.076653,0.601533,30.076653,0.601533,0.343509,0.343509,30.076653,0.90536,0.975274,features=standard_donors__controls=50__rep=0,standard_donors,50.0,50,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=standard_donors__controls=50__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,299,299,0.01,True,False,,0.019452,0.103832,0.016454,0.094268,0.031034,0.127139,1.595431,0.019745,0.104238,0.004572,0.001099,0.017985,0.099096,0.001851,0.000688,29.213843,10.863023,0.434138,0.18149,,,,0.000191,0.352231,0.181619,0.000388,0.0,0.534459,0.000279,0.502711,0.212973,0.00283,0.11742,0.836215,1.370675,,,,,,164.300338,0.549499,164.300338,0.549499,0.392048,0.392048,164.300338,0.910855,0.950669,features=standard_donors__controls=all__rep=0,standard_donors,,all,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,False,0,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=standard_donors__controls=all__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,100,536,0.01,True,False,,0.017948,0.101097,0.015689,0.093017,0.026786,0.124625,1.492474,0.018273,0.101653,0.00464,-0.00683,0.019203,0.104702,0.008846,0.00329,139.614035,51.932404,0.461763,0.183411,,,,0.000616,2.500029,0.460505,0.001081,0.0,2.962317,0.001812,3.131879,0.4548,0.004862,100.161113,103.75447,106.716786,,,,,,44.630515,0.446305,56.268609,0.562686,0.263761,0.404059,98.076252,1.050936,1.029993,features=treated_and_donor_lags__controls=100__rep=0,treated_and_donor_lags,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_and_donor_lags__controls=100__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,2,340,0.01,True,False,,0.176354,0.328506,0.155943,0.313714,0.245418,0.403321,1.39162,0.174551,0.328219,0.032512,0.08619,0.160861,0.323075,0.032367,0.01204,510.845587,190.019861,0.511563,0.497907,,,,0.000187,0.435256,0.227041,0.000445,0.0,0.662972,0.000305,0.629771,0.235336,0.003269,37.039959,37.908642,38.571614,,,,,,1.518289,0.759145,1.530094,0.765047,0.0,0.250141,6.075171,0.921572,0.984327,features=treated_and_donor_lags__controls=2__rep=0,treated_and_donor_lags,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_and_donor_lags__controls=2__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,50,436,0.01,True,False,,0.025514,0.115233,0.022185,0.107281,0.035599,0.134892,1.395253,0.025747,0.11561,0.006034,-0.006448,0.026294,0.120486,-0.02624,-0.00976,-414.142277,-154.049012,0.565228,0.21823,,,,0.000517,1.448796,0.255625,0.000575,0.0,1.705549,0.000497,1.667245,0.273265,0.004031,66.945195,68.890235,70.595784,,,,,,27.964805,0.559296,33.835172,0.676703,0.178349,0.377102,65.756182,1.021211,1.042176,features=treated_and_donor_lags__controls=50__rep=0,treated_and_donor_lags,50.0,50,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_and_donor_lags__controls=50__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,299,934,0.01,True,False,,0.015032,0.09101,0.013884,0.085612,0.024647,0.11792,1.639666,0.015535,0.092404,0.001361,-0.000978,0.017235,0.096722,0.009042,0.003364,142.71654,53.086447,0.470443,0.178187,,,,0.001226,6.628417,1.246457,0.001103,0.0,7.877238,0.001129,8.210138,1.269447,0.008176,228.145378,237.634272,245.51151,,,,,,136.271079,0.455756,180.96048,0.605219,0.33599,0.451066,261.037432,1.10938,1.046733,features=treated_and_donor_lags__controls=all__rep=0,treated_and_donor_lags,,all,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,True,24,1,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_and_donor_lags__controls=all__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,100,436,0.01,True,False,,0.020593,0.10883,0.016927,0.098109,0.02954,0.131324,1.434451,0.020578,0.108498,0.010127,-0.009172,0.019719,0.106169,0.019697,0.007327,310.874408,115.636336,0.479693,0.185731,,,,0.000201,0.498736,0.297849,0.000743,0.0,0.797567,0.000336,0.74904,0.309692,0.004179,66.734942,67.798192,68.595759,,,,,,46.354176,0.463542,46.354176,0.463542,0.325806,0.325806,69.715378,0.958267,0.978534,features=treated_lags__controls=100__rep=0,treated_lags,100.0,100,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_lags__controls=100__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,2,338,0.01,True,False,,0.201586,0.351785,0.170127,0.329595,0.328513,0.478599,1.629645,0.206728,0.358912,0.046348,0.121321,0.171667,0.337778,0.03275,0.012182,516.887442,192.267257,0.511943,0.508225,,,,0.000163,0.380587,0.210995,0.000446,0.0,0.592223,0.000269,0.567979,0.213574,0.003191,32.086812,32.871829,33.464052,,,,,,1.492205,0.746103,1.492205,0.746103,0.0,0.0,5.850109,0.830402,0.941118,features=treated_lags__controls=2__rep=0,treated_lags,2.0,2,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_lags__controls=2__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,50,386,0.01,True,False,,0.028721,0.12311,0.023888,0.112533,0.03918,0.141369,1.364154,0.028493,0.122033,0.012897,-0.010597,0.02732,0.122708,-0.022025,-0.008193,-347.622358,-129.305516,0.561427,0.222645,,,,0.000188,0.424869,0.198527,0.000541,0.0,0.624162,0.000306,0.626119,0.204386,0.003634,47.662651,48.497099,49.121261,,,,,,27.841301,0.556826,27.841301,0.556826,0.272279,0.272279,43.767057,0.95885,1.005532,features=treated_lags__controls=50__rep=0,treated_lags,50.0,50,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_lags__controls=50__rep=0
bess,bess_panel_features,SCM,single_validation_split,netconsumption_1,299,635,0.01,True,False,,0.017474,0.098756,0.015031,0.090285,0.028179,0.123419,1.612625,0.017788,0.099322,0.00434,0.001028,0.017867,0.098687,0.027349,0.010173,431.652523,160.562319,0.501996,0.181045,,,,0.000481,0.739673,0.618555,0.00077,0.0,1.359514,0.000366,1.062999,0.631951,0.005707,132.809008,134.510035,135.869549,,,,,,148.135846,0.495438,148.135846,0.495438,0.413857,0.413857,190.050176,1.004409,0.993612,features=treated_lags__controls=all__rep=0,treated_lags,,all,0,42,42,True,True,"(0.01,)","(True,)","(False,)",False,"(0.05,)","(64, 64)",0.0005,2000,256,10,True,True,336,False,0,0,0.2,0.1,False,3,3,5,False,10,False,10,runtime_PC\features=treated_lags__controls=all__rep=0
